title,location,experience,skills,company,salary,description,posted_date
Urgent Hiring for Full Time Trainer in DATA Science/ Machine Learning,Noida,0-3 yrs,"data science, Python, Machine learning, Datascience...",K V Computer Home Private limited,"    1,00,000 - 3,00,000 P.A.  ",,7 days ago
Opening For FULL / PART TIME Trainer in DATA Science/ Machine Learning,Noida(Sector-2 Noida),0-2 yrs,"ec, ee, cs, mca, bca, 2013, 2014, ai, machine learning, r language...",Data Science / Machine LearningTrainer,"    1,25,000 - 3,00,000 P.A.  ",,5 days ago
Manager - Operations - Data Science Course - Edtech,Bengaluru,3-6 yrs,"Operations, Manager - Operations, Project Management, People Management...",Change Leaders,  Not disclosed ,- Ownership of Program Office (Data Science) activities covering all aspects of program delivery & ...,3 days ago
Strategic Project & Operations Analyst - Data Science,Gurgaon,3-5 yrs,"Strategic Project & Operations Analyst, Data Science, Cassandra, Spark...",BlackRock Services India Pvt. Ltd.,  Not disclosed ,,7 days ago
Strategic Project & Operations - Data Science Associate,Gurgaon,5-8 yrs,"Data Science, Reuters, Bloomberg, IDC, Cassandra, Spark, Storm, Kafka...",BlackRock Services India Pvt. Ltd.,  Not disclosed ,"Candidates should have experience or interest in tackling data-related finance issues, analytics and ...",4 days ago
Data Science Trainer / Bigdata Hadoop Trainer in a Leading IT Company,"Chandigarh, Mohali",0-5 yrs,"machine learning, data science, python, hadoop, bigdata, big data, big data...",Piford Technologies (P) Ltd,"    1,25,000 - 4,00,000 P.A. Best salary as per Industry & ...  ",,7 days ago
Walk-in Drive for Data Science on 29th Sep @ Bangalore,Bengaluru,4-9 yrs,"Text Mining, Hive, Hadoop, SQL, Data Science, Data Integration...",Hexaware Technologies Ltd.,  Not disclosed ,,4 days ago
Immediate Requirement for Data Science Trainer/faculty,Hyderabad,3-8 yrs,"data science, python, tableau, r, strong analytical skills...",Peers Technologies (P) Ltd.,  Not disclosed ,,5 days ago
Data Science Engineer,Hyderabad,5-10 yrs,"Data Science, Big Data Ecosystem, Cassandra, MongoDB, Tableau, Qlikview...",HighPoints Technologies India (P) Ltd.,  Not disclosed ,"Experience of data warehousing technologies including data modeling, ETL and reporting, end-to-end data ...",5 days ago
Head of Data Science (chief Data Scientist),Chennai,9-14 yrs,"data science, analytics, Scorecard, Algorithms, Python, SAS...",Human Capital for Third Sector,  Not disclosed ,- Around 10+ years of professional experience in Analytics including strong retail analytics experience ...,4 days ago
Talent Search Consultant - Data Science & Analytics,"Bengaluru, Chennai",2-7 yrs,"Hiring, Data Science, Analytics, Big Data, Risk Management, IT Recruitment,...",Rinalytics Advisors Pvt. Ltd,"    2,50,000 - 7,50,000 P.A.  ",,5 days ago
Senior Consultant (data Sciences),Gurgaon,6-8 yrs,"Natural Language Processing, NLP, Data Science, Neural Networks, NoSQL...",AbsolutData Research  Analytics Solutions Pvt. Lt,  Not disclosed ,Experience in productionizing the machine learning models for analytics-based SaaS (Software as a ...,11 days ago
Data Science Manager,"Bengaluru, Pune",6-10 yrs,"Business analysis, Analytical, Data collection, Predictive modeling, Google...",Allstate Solutions Private Limited,  Not disclosed ,"Excellent knowledge of open data science tool kits,  like R,  Python is a must;Experience in working ...",3 days ago
Data Science,"Hyderabad, Pune",3-8 yrs,"Data Science, R, Machine Learning, Stat, Python, Data Analytics, Big Data...",Walking Tree Consultancy Services,  Not disclosed ,2-5 years of progressive experience in building complex data analytics solution;2-5 years of progressive ...,5 days ago
Data Science Analytics Trainer - Part Time (weekends Only),Pune(Viman Nagar),4-9 yrs,"machine learning, data science, data scientist, statistical modeling...",MARSIAN Technologies LLP,  Not disclosed ,Classes need to be conducted only in weekends - 3 hrs on Saturday AND 3 hours on Sunday in different ...,8 days ago
Strategic Project & Operations - Data Science Associate,Gurgaon,5-8 yrs,"Data Science, R, Machine Learning, Python, Spark, Maintenance, Hadoop...",BlackRock Services India Pvt. Ltd.,  Not disclosed ,,9 days ago
Data Science Engineer,"Bengaluru, Noida",3-7 yrs,"Hive, NoSQL, HBase, Pig, Cassandra, SQL, Machine Learning, Python...",Startup - Involvio,  Not disclosed ,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc;Experience with data ...",5 days ago
Associate Project Manager- Data Science,Noida,8-12 yrs,"deep learning, natural language processing, information retrieval...",IRIS SOFTWARE Inc,  Not disclosed ,Should have managed 10-20 team member projects;Should have exp in leading a team;Have experience in ...,10 days ago
Head - Data Science & Analytics - Financial Services,Noida,6-11 yrs,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis...",Dimensions HRD Consultants,  Not disclosed ,"- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",10 days ago
Data Science Engineer - Machine Learning/r,Hyderabad,3-7 yrs,"Machine Learning, Deep Learning, Natural Language Processing, R...",Vidooly - Startup,  Not disclosed ,"BS/ MS in computer science, software engineering, statistics, calculus and algebra or related field ...",10 days ago
Data Science/data Scientist - Machine Learning,Chennai(Mandaveli),7-12 yrs,"Deep Learning, Data Science, Machine Learning, R, Python, SQL, Data Mining,...",Matrimony.com Limited,  Not disclosed ,"Contribute to the improvement of  data science infrastructure, incorporating the ground experience and ...",10 days ago
Cyber Security Data Science Engineer,Bengaluru,2-7 yrs,"Spark, Java, SCALA, Hadoop, Data Science, Python, Machine Learning, R...",JoulestoWatts Business Solutions Pvt Ltd,  Not disclosed ,"1) Must have experience of working with cyber security products, in terms of development, cyber security ...",15 days ago
Data Science Engineer @ Pune,Pune,8-13 yrs,"Machine Learning, Data Science, Statistical Modeling, R programming",iglance Systems LLP,  Not disclosed ,,12 days ago
SPi Technology - DATA Science Company - Looking for DATA Scientists,Chennai,3-8 yrs,"data science, machine learning, data analysis, data analytics, python...",SPI TECHNOLOGIES INDIA PRIVATE LIMITED,  Not disclosed ,Demonstrated capability to pick up required software ...,18 days ago
Data Science Trainer,Chennai,10-15 yrs,"Deep Learning, NLP, Linear Regression, Data Science, Neural Networks, R...",Pathfinder Enterprise Solutions Pvt Ltd,  Not disclosed ,About 10+ years experience in Data Science/Machine Learning/Analytics;Should have proven skills in ...,17 days ago
"Big Data, Data Science and AI Engineer",Coimbatore,2-5 yrs,"Data Science, Machine Learning, Big Data, Software Development",Startup - icliniq.com,  Not disclosed ,"Proven experience in working with Big Data, AI and Machine Learning ...",17 days ago
"Data Science  - 3+ Years of exp , Chennai",Chennai(Dhandeeswaram Nagar),2-7 yrs,"Deep Learning, Machine Learning, NLP, Python, Data Science, R, Statistics...",Tekclan Software Solutions Private limited,  Not disclosed ,"3 + years experience with analytical software tools such as Python, R, SAS, Matlab;Qualified candidates ...",17 days ago
Data Science/ Python Developer,Noida(Sector-59 Noida),2-7 yrs,"Python, Django, Data Science, Machine Learning, R, SQL, Spark...",Polestar Solutions And Services India Pvt. Ltd.,"    4,00,000 - 7,50,000 P.A.  ",Should have 2+ years creating predictive models using advance machine learning;Should have an expert ...,21 days ago
Data Science (jupyter/azure Ml/matlab),Bengaluru,1-5 yrs,"MATLAB, Data mining, Machine learning, Outsourcing, Artificial Intelligence...",Accenture,  Not disclosed ,,22 days ago
Data Science (jupyter/azure Ml/matlab),Bengaluru,1-5 yrs,"Python, MATLAB, Data mining, Machine learning, Outsourcing...",Accenture,  Not disclosed ,,22 days ago
Data Science (jupyter/azure Ml/matlab),Bengaluru,2-5 yrs,"Python, MATLAB, Data mining, Machine learning, Outsourcing, Operations...",Accenture,  Not disclosed ,,23 days ago
"Data Science,machine Learning, NLP, SAS, R, Mongodb,nosql",Mumbai,7-11 yrs,"hadoop, nosql, data science, nlp, sql, r, MongoDB, Machine Learning...",Careernet Technologies Pvt Ltd,  Not disclosed ,"At least 7 years of work experience as a data scientist;Experience with common d ata science toolkits, ...",27 days ago
DGM- Operation Research and Forecasting(data Science),Mumbai,10-20 yrs,"operations research, senior management, revenue management...",Go Airlines (India) Pvt. Ltd.,  Not disclosed ,Job Description  We are looking out for the position of DGM operation research and ...,29 days ago
Data Science (jupyter/azure Ml/matlab),Bengaluru,4-7 yrs,"SAP, Python, MATLAB, Enterprise applications, Data analysis...",Accenture,  Not disclosed ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,25 days ago
"Data Science Associate Consultant (pune, India)",Pune,3-5 yrs,"data science, machine learning, data mining, analytics, client solutions...",ZS Associates {India} Pvt Ltd,  Not disclosed ,,26 days ago
Data Science Associate Consultant,Delhi,3-5 yrs,"Text Mining, Data Science, R, Machine Learning, Predictive Modeling...",ZS Associates {India} Pvt Ltd,  Not disclosed ,"High motivation, good work ethic and maturity;In lieu of a PhD, 3-5 years of relevant post-collegiate ...",24 days ago
Data Science Lead,Bengaluru,5-10 yrs,"Data Science Lead, Data Science, product development, algorithms...",D Cube Analytics- Startup,  Not disclosed ,Experience in applying machine learning techniques to real-world problems in a production environment ...,24 days ago
Data Science Manager,Pune,12-22 yrs,"data science, computer science, r, python, software product development...",Nice interactive solutions India pvt ltd,  Not disclosed ,Liaise with the scrum master and scrum teams to promote good work practices and continuous improvement ...,26 days ago
"Manager Data Science AI ML, Hyderabad / Chennai","Chennai, Hyderabad",12-15 yrs,"Text Mining, Deep Learning, Data Analysis, Machine Learning, Data Science...",Technogen India Private Limited,"    22,50,000 - 35,00,000 P.A.  ",Excellent oral and written communications skills and experience interacting with both business and IT ...,15 days ago
Head - Data Science/enterprise AI - PhD,"Bengaluru, Hyderabad, Pune",12-18 yrs,"solutioning, data science, people management, competency development...",Rinalytics Advisors,  Not disclosed ,"- Pre-sales, solutioning, delivery experience;- Should have PnL Responsibility, People Management, ...",29 days ago
Data Science Engineer - Machine Learning,Delhi NCR,1-5 yrs,"Machine Learning, Python, NLP, Neural Networks, Data Science, R, Algorithms...",Kalagato - Startup,  Not disclosed ,"1-5 years of work experience, prior experience in design high performance algorithms a must;Finance ...",29 days ago
Data Science for Banking,Bengaluru,4-8 yrs,"Python, Machine learning, Outsourcing, Artificial Intelligence, Operations,...",Accenture,  Not disclosed ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,30 days ago
Director of Data Science,Noida,5-8 yrs,"Data Science, SQL, Advanced Analytics, Machine Learning, R, Python...",Deal4Loans - Startup,  Not disclosed ,You should be able to develop high-level relationships with partners - you will develop partnerships and ...,37 days ago
Manager / Sr. Manager Data Science,Bengaluru,9-12 yrs,"Data Science, Image Analysis, NLP, Wake, Mallet, OpenCV, Scikit...",Conversant Software Development And Campaign Management Services LLP,  Not disclosed ,Experience in building deep learning models for Text Analysis using CNNs/RNNs;Experience in building ...,37 days ago
Senior Consultant - Data Science,Bengaluru,4-6 yrs,"Predictive Analytics, Data Science, Predictive Modeling, Data Analytics...",Allstate Solutions Private Limited,  Not disclosed ,"Proficiency in open data science tool kits, like R, Python is a must;Individuals in this field should be ...",38 days ago
Director - Data Science - KPO,"Bengaluru, Hyderabad, Chennai",10-15 yrs,"Text Mining, Data Science, Statistical Modeling, Predictive Modeling...",Rinalytics Advisors,  Not disclosed ,Masters or PhD with experience in the area of data science specializing in a relevant field such as ...,38 days ago
Vice President - Data Science - KPO,"Mumbai, Bengaluru",10-15 yrs,"Data Science, Data Mining, Data Analysis, Predictive Modeling...",Rinalytics Advisors,  Not disclosed ,Developing data science solutions to enhance product ability and user experience;Should have a strong ...,38 days ago
Director - Data Science - IT,Bengaluru,15-20 yrs,"SAS, Text Mining, R, Advanced Analytics, SQL, Statistical Modeling, Machine...",GAMA India,  Not disclosed ,- Should have strong experience in implementing advanced analytics approaches including statistical ...,43 days ago
Data Science Lead,Hyderabad,5-7 yrs,"data analysis, predictive analytics, data mining, data science...",Finisar Technology India Pvt Ltd,  Not disclosed ,He/She should have 3-5 years relevant work experience in predictive analytics/forecasting space and have ...,43 days ago
Data Science Manager | Noida & Bangalore,"Bengaluru, Noida",4-7 yrs,"data analysis, project management, sql, excel, machine learning...",Grail Insights,"    12,00,000 - 18,00,000 P.A.  ",You will be required to use different technical skills and variety of tools to generate actionable ...,44 days ago
Manager - Data Science,"Hyderabad, Pune",6-11 yrs,"sql, advanced analytics, machine learning, r, data mining, python, tableau,...",CoreCompete Pvt. Ltd.,  Not disclosed ,5+years of hands-on experience in using software packages such as SAS for analytical modeling and data ...,47 days ago
Senior Software Engineer (data Science / Machine Learning),Mumbai,4-9 yrs,"logistic regression, data analytics, data analysis, sql, excel powerpoint...",Morningstar India (P) Ltd.,  Not disclosed , Be a Role Model to the team to collaborate on good object-oriented designs & domain ...,50 days ago
Next Gen Data Technology Manager (data Science / Machine Learning),Mumbai,7-12 yrs,"logistic regression, data analytics, data analysis, sql, excel powerpoint...",Morningstar India (P) Ltd.,  Not disclosed ,Experience with at least one statistical modeling language (e.g;Experience developing and deploying ...,47 days ago
A Global IT Company is Looking to Employ Data Science Engineer,Chennai,3-8 yrs,"Data Science, R, Python, SAS, Predictive Modeling, Statistical Modeling...",Geakminds Technologies Private Limited,  Not disclosed ,"Experience in various statistical and machine learning models, data mining, unstructured data analytics ...",50 days ago
Manager- Data Science - Machine Learning Engineering and Client Manage,Delhi NCR,6-8 yrs,"Machine Learning, Natural Language Processing, Data Science...",Crescendo Global Services,"    13,00,000 - 20,00,000 P.A.  ",An exciting job opportunity with a Fortune 500 firm for an individual with at least 6 years of ...,42 days ago
Head - Data Science - BFSI,Bengaluru,10-16 yrs,"Data Science, Data Analytics, Machine Learning, Data Mining...",Kelly Services,  Not disclosed ,"preferred) in machine learning, statistics, bioinformatics, signal processing or related field ...",50 days ago
Avp/senior/avp - Digital Analytics + Retail Analytics,Bengaluru,10-15 yrs,"R, SAS, Data Science, Machine Learning, Digital Analytics, Python, Logistic...",Huquo Consulting Pvt. Ltd,  Not disclosed ,"- Hands on experience in statistical techniques like logistic regression, clustering, segmentation etc ...",1 day ago
Application Lead,Bengaluru,3-7 yrs,"Python, Machine learning, Outsourcing, Operations, Logistic regression...",Accenture,  Not disclosed ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,1 day ago
Analytics Manager,Bengaluru,3-8 yrs,"corporate training, data science, sas, r, content writing, SPSS, Statistics...",ISDC Services India Pvt. Ltd.,"    3,00,000 - 8,00,000 P.A. 40%  ",Should be able to deliver subject contents to students when needed; 	Graduate or Post Graduate  Any ...,1 day ago
Data Scientist | Delhi - NCR,Delhi NCR,2-4 yrs,"data mining, data analysis, machine learning, analytics, statistics...",Karvy Analytics,  Not disclosed ,The Data Scientist with 2+ years of experience will be responsible for designing and implementing ...,1 day ago
AVP - Engineering/technology - Iit/nit/bits,Gurgaon,5-9 yrs,"Artificial Intelligence, Data Science, Machine Learning, NoSQL...",Edwisor,  Not disclosed ,- Graduate in Computer Science or a related degree from Tier 1 institute (IIT/NIT/IIT/BITS-P) with at ...,1 day ago
Senior Data Science Analytics Developer,Bengaluru(Bellandur),6-11 yrs,"Machine Learning, R, Neural Networks, Data Science, Python...",HP India Sales Private Limited,  Not disclosed ,"Experience using statistical computer languages (R, Python, SLQ, etc.) for querying and manipulate data ...",17 days ago
Data Science Analyst,Gurgaon,1-3 yrs,"data science, analytics, sas, r, python, tableau, dashboards...",CHANGE LEADERS CONSULTING,"    8,00,000 - 10,00,000 P.A.  ",,7 days ago
Lead Engineer - Data Science,Pune,5-8 yrs,", Data mining ,  Machine Learning ,  Virtual Sensing , Data mining, Machine...",Eaton Technologies Pvt. Ltd.,  Not disclosed ,"Masters with 9-10 years experience with an experience of about 4-5 years in the area of Data Science, ...",50 days ago
Marketing Data Science Professional - SAS - Consulting Firm,Gurgaon,2-5 yrs,"Customer Analytics, SAS, Marketing Analytics, Predictive Analytics...",HuQuo,  Not disclosed ,"- Expertise in Excel and SQL required, experience with data visualization software (e.g;- 2+ years ...",5 days ago
Devops Engineer - Data Science Cloud Platform Engineering @ Oracle,Bengaluru,5-10 yrs,"configuration management, service provisioning, devops, kubernetes, docker,...",Oracle India Pvt. Ltd.,  Not disclosed ,,13 days ago
Data Science Engineer - Big Data/ Java/ Python,Bengaluru,2-6 yrs,"Spark, Hadoop, Big Data, Java, Elastic Search, Data Science, Rabbitmq...",JoulestoWatts Business Solutions Pvt Ltd,  Not disclosed ,5) Experience in designing and implementing complex development use cases and scenarios using ...,11 days ago
Manager-solution Data Science,Noida,3-7 yrs,"SQL Queries, Data Science, Arima, Analytics, Machine Learning...",Xpert Conexions,  Not disclosed ,"Good understanding of machine learning techniques and statistical methods such as predictive modeling, ...",22 days ago
Data Science Engineer,Noida,3-7 yrs,"SQL Queries, Data Science, Arima, Analytics, Machine Learning...",Xpert Conexions,  Not disclosed ,Good knowledge of key machine learning terms and an understanding of their implication on model outputs ...,22 days ago
DATA Analytics / DATA Science / Analyst - BI / SAS / R / Python / RPA,"Delhi NCR, Gurgaon, Noida",0-5 yrs,"data Analyst, reporting analyst, SAS, statistics, sas programmer...",SLA Consultants India,"    2,00,000 - 4,25,000 P.A.  ",,30 days ago
DATA Analytics / DATA Science / Analyst - SAS / R / Python / RPA / BI,"Delhi NCR, Gurgaon, Noida",0-5 yrs,"data Analyst, reporting analyst, SAS, statistics, sas programmer...",SLA Consultants India,"    2,00,000 - 4,25,000 P.A.  ",,23 days ago
Practice Lead - Advanced Analytics,"Mumbai, Bengaluru, Pune",10-15 yrs,"data science, statistical modeling, machine learning, data mining, advanced...",Bristlecone India Limited,  Not disclosed ,- Leverage knowledge & experience to design solutions which best meet the clients business needs ...,1 day ago
Cyber Security Manager - Cism/cissp,Bengaluru,8-12 yrs,"Hive, Machine Learning, Data Science, R, Impala, Spark, Python, SQL...",Aimplus Staffing Solutions,  Not disclosed ,"- Experience in developing, retaining and leading experienced & international team;- Experience ...",2 days ago
Data Scientist - ETL/ Analytics,Mumbai,3-6 yrs,"Data Science, Machine Learning, SQL, Python, R, ETL, Statistics, Analytics,...",Premium,  Not disclosed ,- You have good understanding of statistics and machine learning concepts;- You have hands on experience ...,2 days ago
Machine Learning Engineer - Predictive Modeling/artificial Intelligenc,"Gurgaon, Gurugram",2-4 yrs,"Text Mining, Information Retrieval, Machine Learning, Data Science, R...",Ushyaku Software Solutions,  Not disclosed ,- Candidate should open to learn new open source technologies and languages;- Experience of handling ...,2 days ago
Senior Data Scientist,Pune,5-10 yrs,"Python, Deep Learning, Information Retrieval, R, Predictive Analytics, NLP,...",Medline Industries India Private Limited,  Not disclosed ,"At least one research paper presented in a reputable conference, or should have won a Kaggle contest or ...",2 days ago
Senior/principal Data Scientist,Bengaluru,5-10 yrs,"Hadoop, Hive, Text Mining, Spark, Pig, HBase, Data Science, NoSQL...",Rinalytics Advisors,  Not disclosed ,Data Scientists with 5 plus years of experience:;Masters or PhD with experience in the area of data ...,2 days ago
Machine Learning Engineer,Hyderabad,5-10 yrs,"Data Structures, Algorithms, Object Oriented Design, Data Science...",Varaha Consulting Pvt Ltd,  Not disclosed ,Must have worked on at least one project that is live in production;Must be an independent contributor ...,2 days ago
Data Scientist - Machine Learning/ Artificial Intelligence,Mumbai,4-8 yrs,"Data Science, Machine Learning, Artificial Intelligence, Data Analysis...",Premium,  Not disclosed ,- Have 4+ years of work experience with large volumes of data preferably in e-commerce;MUST have : ...,2 days ago
Data Scientist - Machine Learning/artificial Intelligence,Mumbai,4-8 yrs,"Data Science, Machine Learning, Artificial Intelligence, Data Analysis...",Premium,  Not disclosed ,- Have 4+ years of work experience with large volumes of data preferably in e-commerce;MUST have : ...,2 days ago
Data Scientist - Etl/analytics,Mumbai,3-6 yrs,"Data Science, Machine Learning, SQL, Python, R, ETL, Statistics, Analytics",Premium,  Not disclosed ,- You have good understanding of statistics and machine learning concepts;- You have hands on experience ...,2 days ago
Trainee Data Science,"Mumbai, Bengaluru, Pune",0-1 yrs,"Cyber Security, cyber security officer, cyber security manager...",MNC,"    4,00,000 - 8,00,000 P.A.  ",,5 days ago
Dgm/gm- Data Analytics and Data Science Based at Chennai,Chennai,12-18 yrs,"data analysis, data mining, data science, data analytics...",Symmetrical Global Search Private Limited,  Not disclosed ,12+ years of working experience in statistical modelling and/or machine learning techniques ...,40 days ago
AGM Big Data/data Science/analytics,Noida,16-25 yrs,"data science, artificial intelligence, machine learning, big data analytics...",RGF SELECT INDIA PRIVATE LIMITED,  Not disclosed ,Well versed with data driven story telling techniques;6-8+ years experience in Oil and Gas Domain;We are ...,36 days ago
Artificial Intelligence/ RPA Transformation Manager,Gurgaon,5-10 yrs,"machine learning, nlp, data science, artificial intelligence, research...",Staffio HR,  Not disclosed ,- Identifying a clients high-level business needs and leading the creation of detailed functional specs ...,1 day ago
Data Scientist - R/python/machine Learning,Bengaluru,3-8 yrs,"Machine Learning, Data Science, R, Python, Artificial Intelligence...",Staffio HR,  Not disclosed ,"- 3+ years of experience in applied artificial intelligence technologies including machine learning, ...",1 day ago
"Data Scientist, 3 to 8 yrs, Bangalore",Bengaluru,3-8 yrs,"python, machine learning, data science, r, statistical modeling...",Naukri Premium - Employer Services,  Not disclosed ,4)	Experience collaborating with a team of data scientists in developing and delivering scalable ...,1 day ago
Required of Lead Data Scientist for IT Industry at Bangalore,Bengaluru,2-7 yrs,"Data Science, Machine Learning, R, Python, Java, MATLAB, Statistics...",B3-BRAIN BEHIND BRAND,"    1,00,000 - 4,00,000 P.A.  ","We now have good client base serving in different industries like Healthcare, Retail, BFSI, Media & ...",1 day ago
Required of Trainee data Scientist for IT Industry at Bangalore,Bengaluru,0-2 yrs,"Data Science, Machine Learning, R, Python, Java, MATLAB, Statistics...",B3-BRAIN BEHIND BRAND,"    50,000 - 2,00,000 P.A.  ","We now have good client base serving in different industries like Healthcare, Retail, BFSI, Media & ...",1 day ago
Lead Data Scientist,Noida,13-18 yrs,"data analytics, predictive modeling, python, r programming...",R Systems International Ltd.,  Not disclosed ,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,1 day ago
Azure ML Engineer,Noida,2-4 yrs,"Machine Learning, ML, Azure, Predictive Modeling, Data Science...",R Systems International Ltd.,  Not disclosed ,Looking for Azure ML Engineer with Min 2 Years of exp. 1. Worked on Microsoft Azure Machine ...,1 day ago
Data Science & System Solutions in Android Systems,Bengaluru,8-13 yrs,"Data Science, Machine Learning, computer vision...",Connectpro Management Consultants Pvt Ltd.,  Not disclosed ,Must have a) worked on a communication networks or Mobile terminal project applying the above techniques ...,30 days ago
Business Analytics and Data Science Trainer(part Time),Chennai,2-5 yrs,"part time, big data, business analytics, data analysis, data mining...",Pathmaker 360,  Not disclosed ,,18 days ago
Manager - Operations - Data Science Course - Edtech,Bengaluru,3-6 yrs,"operations management, people management, operational excellence...",Change Leaders,  Not disclosed ,- Ownership of Program Office (Data Science) activities covering all aspects of program delivery & ...,23 days ago
Opportunity for Data Science with Python - Bangalore...,Bengaluru,6-11 yrs,"Data Science, Python, Data Scientist, Senior Data Scientist",Think People Solutions Private Ltd,"    7,00,000 - 17,00,000 P.A.  ",We have an opportunity with one of the leading CMMI Level 5 company as follows: ...,8 days ago
"Data Science Openings for Top MNC, Banglore.",Bengaluru,5-9 yrs,data science,ILABZ TECHNOLOGY LLP,  Not disclosed ,"Pay slips{Please, send me atleast any one Month payslips for current and previous organizations}: ...",10 days ago
Hadoop Administrator - Devops,Bengaluru,2-7 yrs,"Data Science, Big Data Analytics, Machine Learning, Python, Ansible...",Servian,  Not disclosed ,Proficient in at least 1 major scripting language;Proficient in at least 1 virtualisation technology e.g ...,4 days ago
Director - Analytics | Hyderabad,Hyderabad,14-24 yrs,"Deep Learning, Data Science, R, Machine Learning, Python, Analytics...",Karvy Analytics Limited,  Not disclosed ,"14 plus years experience with at least 7+ years of relevant experience in leading Data Science team, ...",2 days ago
Senior Data Research Analyst,Delhi(East of Kailash),2-6 yrs,"Data Analysis, Data Research, Data Analytics, R, Product Sales, Statistical...",Baby Destination,  Not disclosed ,"- At least 2-3 years of work experience in data analysis, business intelligence, and analytics reporting ...",4 days ago
Computer Vision Engineer - Machine Learning/open Source,Bengaluru,2-7 yrs,"Deep Learning, Computer Vision, Algorithms, Machine Learning...",Artivatic.ai,  Not disclosed ,- Experience applying machine learning and computer vision principles to real-world data and working in ...,4 days ago
We(@tiger Analytics) are Looking for Sr.data Analyst,Chennai,2-6 yrs,"sql, r, python, sas, customer engagement, statistical modeling...",Tiger Analytics India LLP,"    6,00,000 - 12,00,000 P.A.  ",2+ years of programming experience which should include hands-on programming in Java/C/C ...,5 days ago
Senior Data Scientist,Pune,3-8 yrs,"machine learning, data science, nlp, Data Scientist, Senior Data Scientist,...",ZS Associates {India} Pvt Ltd,  Not disclosed ,PhD in Computer Science (OR Statistics) / MTech / MS from a premier institute would be highly preferred ...,4 days ago
Data Scientist,Noida,5-7 yrs,"data scientist, machine learning, python, analytics specialist, analytics...",R Systems International Ltd.,  Not disclosed ,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,4 days ago
Cloud Automation Engineer(java+rest+big Data) Role: Oracle Bangalore,Bengaluru,10-20 yrs,"SDET, Automation Testing, Java, Software Development, Docker, Ruby...",Oracle India Pvt. Ltd.,  Not disclosed ,Knowledge and experience  of working on big data application using hadoop or any related tools including ...,3 days ago
